customerID,month,data_gb,call_minutes,monthly_charge,support_tickets,login_count,service_outages,churn_label,contract
0004-UNDVL,5,27.43,146.7,93.55,1,8,0,0,Month-to-month
0004-UNDVL,6,26.06,158.6,96.79,1,20,0,0,Month-to-month
0004-UNDVL,7,23.07,153.0,85.08,0,22,2,0,Month-to-month
0004-UNDVL,8,32.58,157.5,91.47,1,19,0,0,Month-to-month
0004-UNDVL,9,36.62,190.2,94.46,2,27,0,0,Month-to-month
0004-UNDVL,10,31.66,209.9,85.44,1,27,1,0,Month-to-month
0004-UNDVL,11,28.06,210.5,91.51,2,26,1,0,Month-to-month
0004-UNDVL,12,31.71,199.9,91.4,0,26,0,0,Month-to-month
0005-NJEYU,1,15.17,186.7,38.77,2,24,0,0,One year
0005-NJEYU,2,15.97,213.2,38.12,0,39,0,0,One year
0005-NJEYU,3,21.77,217.2,42.82,0,41,0,0,One year
0005-NJEYU,4,23.54,203.2,45.89,1,30,0,0,One year
0005-NJEYU,5,19.45,188.2,45.58,1,25,0,0,One year
0005-NJEYU,6,24.12,235.7,51.56,0,21,0,0,One year
0005-NJEYU,7,8.51,167.8,47.08,2,26,0,0,One year
0005-NJEYU,8,7.71,230.0,36.58,0,27,0,0,One year
0005-NJEYU,9,24.86,188.5,51.66,0,29,0,0,One year
0005-NJEYU,10,5.04,168.7,45.36,0,12,0,0,One year
0005-NJEYU,11,10.14,196.4,32.64,0,25,0,0,One year
0005-NJEYU,12,19.51,217.7,41.98,1,17,0,0,One year
0006-QKVOL,1,21.58,144.3,90.07,0,27,0,1,One year
0006-QKVOL,2,21.01,253.5,83.27,1,22,0,1,One year
0006-QKVOL,3,21.35,171.2,84.73,1,27,0,1,One year
0006-QKVOL,4,25.29,156.5,84.99,0,24,0,1,One year
0006-QKVOL,5,27.67,144.2,84.55,0,32,0,1,One year
0006-QKVOL,6,20.63,132.3,83.87,0,27,0,1,One year
0006-QKVOL,7,25.67,206.8,87.55,1,27,0,1,One year
0006-QKVOL,8,23.99,153.3,86.62,0,28,0,1,One year
0006-QKVOL,9,15.29,197.3,91.69,0,31,0,1,One year
0006-QKVOL,10,25.27,149.6,84.73,1,33,0,1,One year
0006-QKVOL,11,20.49,164.1,98.08,0,22,0,1,One year
0006-QKVOL,12,15.67,141.1,89.36,0,29,1,1,One year
0007-LFCOX,1,24.5,145.3,69.36,0,26,1,1,Month-to-month
0007-LFCOX,2,6.41,65.5,71.82,0,28,0,1,Month-to-month
0007-LFCOX,3,25.45,107.4,69.53,0,23,0,1,Month-to-month
0007-LFCOX,4,15.92,0.0,71.98,2,37,0,1,Month-to-month
0007-LFCOX,5,18.96,84.4,68.08,0,26,0,1,Month-to-month
0007-LFCOX,6,21.67,94.9,63.1,1,24,0,1,Month-to-month
0007-LFCOX,7,19.64,165.4,58.08,1,29,0,1,Month-to-month
0007-LFCOX,8,10.55,168.5,51.85,4,28,0,1,Month-to-month
0007-LFCOX,9,21.76,114.1,53.16,3,27,0,1,Month-to-month
0007-LFCOX,10,15.57,71.3,64.87,3,40,1,1,Month-to-month
0007-LFCOX,11,15.73,0.0,73.89,1,17,1,1,Month-to-month
0007-LFCOX,12,20.37,52.6,65.23,4,19,0,1,Month-to-month
0008-BWVHQ,1,30.24,137.9,82.03,1,14,0,1,Month-to-month
0008-BWVHQ,2,25.74,116.8,68.98,1,28,1,1,Month-to-month
0008-BWVHQ,3,23.22,151.0,81.57,0,17,0,1,Month-to-month
0008-BWVHQ,4,26.36,133.8,79.05,0,35,0,1,Month-to-month
0008-BWVHQ,5,27.2,85.5,69.17,0,22,0,1,Month-to-month
0008-BWVHQ,6,26.35,93.0,93.12,1,12,0,1,Month-to-month
0008-BWVHQ,7,24.03,170.6,78.9,0,18,1,1,Month-to-month
0008-BWVHQ,8,11.79,187.3,70.94,4,27,0,1,Month-to-month
0008-BWVHQ,9,24.04,133.9,83.48,0,11,0,1,Month-to-month
0008-BWVHQ,10,30.26,109.3,83.17,3,21,1,1,Month-to-month
0008-BWVHQ,11,14.77,108.5,68.51,3,16,1,1,Month-to-month
0008-BWVHQ,12,17.01,83.9,89.63,4,18,1,1,Month-to-month
0009-ETSJB,1,5.7,172.5,47.63,0,24,0,0,Month-to-month
0009-ETSJB,2,16.74,162.8,53.01,0,23,0,0,Month-to-month
0009-ETSJB,3,13.04,98.5,45.91,0,28,0,0,Month-to-month
0009-ETSJB,4,4.44,153.2,54.31,0,27,0,0,Month-to-month
0009-ETSJB,5,16.05,141.9,40.56,1,23,0,0,Month-to-month
0009-ETSJB,6,9.51,149.0,53.99,0,35,0,0,Month-to-month
0009-ETSJB,7,16.83,173.8,47.08,0,36,0,0,Month-to-month
0009-ETSJB,8,14.55,176.1,45.67,1,35,1,0,Month-to-month
0009-ETSJB,9,15.25,218.1,46.65,0,33,0,0,Month-to-month
0009-ETSJB,10,15.09,155.1,47.25,0,27,2,0,Month-to-month
0009-ETSJB,11,13.07,145.4,48.26,1,24,0,0,Month-to-month
0009-ETSJB,12,17.79,114.6,45.95,0,26,0,0,Month-to-month
0010-ZLXRU,1,23.15,184.0,87.97,0,25,0,0,One year
0010-ZLXRU,2,17.06,201.4,91.67,1,30,0,0,One year
0010-ZLXRU,3,28.66,185.7,73.04,0,30,0,0,One year
0010-ZLXRU,4,19.18,136.9,90.42,0,23,0,0,One year
0010-ZLXRU,5,25.12,155.7,87.09,0,24,0,0,One year
0010-ZLXRU,6,26.02,172.2,95.78,0,23,0,0,One year
0010-ZLXRU,7,26.61,190.3,93.64,0,26,0,0,One year
0010-ZLXRU,8,25.66,159.7,87.37,0,20,0,0,One year
0010-ZLXRU,9,13.26,193.9,80.89,0,29,1,0,One year
0010-ZLXRU,10,25.1,114.0,87.89,1,17,0,0,One year
0010-ZLXRU,11,16.69,222.9,84.85,0,28,0,0,One year
0010-ZLXRU,12,22.09,202.3,76.79,0,34,0,0,One year
0011-TFJMM,1,18.53,154.9,35.67,0,20,0,0,Month-to-month
0011-TFJMM,2,23.72,153.9,35.61,0,25,0,0,Month-to-month
0011-TFJMM,3,25.12,186.2,29.0,1,23,1,0,Month-to-month
0011-TFJMM,4,25.43,163.2,34.23,0,29,0,0,Month-to-month
0011-TFJMM,5,20.54,187.3,40.58,0,22,0,0,Month-to-month
0011-TFJMM,6,22.9,198.2,35.83,1,22,0,0,Month-to-month
0011-TFJMM,7,27.4,187.2,38.17,1,28,0,0,Month-to-month
0011-TFJMM,8,27.06,217.3,31.39,1,25,0,0,Month-to-month
0011-TFJMM,9,24.91,183.7,31.77,0,23,0,0,Month-to-month
0011-TFJMM,10,29.78,197.4,34.57,0,21,0,0,Month-to-month
0011-TFJMM,11,25.92,175.0,39.55,2,27,0,0,Month-to-month
0011-TFJMM,12,22.73,198.6,33.13,0,30,0,0,Month-to-month
0012-BOETR,1,22.5,216.7,44.84,1,41,0,1,Month-to-month
0012-BOETR,2,27.35,161.5,48.85,1,15,0,1,Month-to-month
0012-BOETR,3,20.0,238.2,48.4,0,50,0,1,Month-to-month
0012-BOETR,4,11.35,147.6,49.2,0,31,1,1,Month-to-month
0012-BOETR,5,25.5,213.2,52.17,0,40,0,1,Month-to-month
0012-BOETR,6,18.53,60.2,59.86,0,37,0,1,Month-to-month
0012-BOETR,7,20.55,36.7,58.31,0,26,0,1,Month-to-month
0012-BOETR,8,20.72,139.7,62.2,1,29,0,1,Month-to-month
0012-BOETR,9,14.84,128.2,47.32,1,31,0,1,Month-to-month
0012-BOETR,10,21.47,181.6,65.13,0,32,1,1,Month-to-month
0012-BOETR,11,15.49,194.3,57.14,0,36,0,1,Month-to-month
0012-BOETR,12,17.82,121.9,59.38,0,23,0,1,Month-to-month
0013-XTJZK,1,25.74,153.7,76.6,0,33,0,0,Two year
0013-XTJZK,2,27.1,170.6,73.68,0,38,0,0,Two year
0013-XTJZK,3,30.93,189.7,68.74,1,37,0,0,Two year
0013-XTJZK,4,28.97,203.1,71.2,0,34,0,0,Two year
0013-XTJZK,5,26.24,168.5,77.68,0,29,0,0,Two year
0013-XTJZK,6,25.06,160.0,74.76,0,44,1,0,Two year
0013-XTJZK,7,27.52,211.0,65.63,0,36,0,0,Two year
0013-XTJZK,8,21.59,240.2,74.97,1,33,0,0,Two year
0013-XTJZK,9,23.54,221.6,80.35,0,45,0,0,Two year
0013-XTJZK,10,32.78,163.2,71.97,0,35,1,0,Two year
0013-XTJZK,11,37.92,247.7,75.05,1,26,1,0,Two year
0013-XTJZK,12,28.82,224.5,70.61,1,33,0,0,Two year
0014-IXJBM,1,22.59,219.4,21.28,0,30,1,1,Month-to-month
0014-IXJBM,2,13.79,248.0,34.46,0,19,0,1,Month-to-month
0014-IXJBM,3,10.9,247.2,43.89,0,28,0,1,Month-to-month
0014-IXJBM,4,22.75,196.6,37.15,1,18,0,1,Month-to-month
0014-IXJBM,5,17.88,266.8,44.26,0,40,0,1,Month-to-month
0014-IXJBM,6,23.42,188.0,34.36,0,30,0,1,Month-to-month
0014-IXJBM,7,25.13,157.1,52.55,1,22,0,1,Month-to-month
0014-IXJBM,8,14.81,183.7,44.21,0,18,0,1,Month-to-month
0014-IXJBM,9,1.22,146.8,51.15,2,12,0,1,Month-to-month
0014-IXJBM,10,23.2,143.3,45.34,0,22,1,1,Month-to-month
0014-IXJBM,11,20.21,223.8,49.08,1,29,2,1,Month-to-month
0014-IXJBM,12,15.84,111.8,45.71,2,23,0,1,Month-to-month
0015-UEMDR,1,18.58,264.7,45.23,2,26,0,0,One year
0015-UEMDR,2,25.87,172.5,37.51,3,22,0,0,One year
0015-UEMDR,3,32.69,191.0,40.91,0,22,0,0,One year
0015-UEMDR,4,30.95,213.1,31.65,0,21,0,0,One year
0015-UEMDR,5,30.47,179.1,38.82,1,16,0,0,One year
0015-UEMDR,6,26.86,151.3,39.47,0,23,0,0,One year
0015-UEMDR,7,29.93,234.0,47.08,1,15,1,0,One year
0015-UEMDR,8,28.76,151.6,32.45,0,17,0,0,One year
0015-UEMDR,9,29.94,219.5,40.23,0,18,1,0,One year
0015-UEMDR,10,26.42,228.4,47.33,0,17,0,0,One year
0015-UEMDR,11,30.26,221.3,28.95,0,24,0,0,One year
0015-UEMDR,12,34.52,261.3,47.28,1,27,0,0,One year
0016-MIFOR,1,13.5,117.4,46.96,1,36,0,0,One year
0016-MIFOR,2,19.26,124.9,47.13,2,29,0,0,One year
0016-MIFOR,3,15.67,117.4,46.64,2,35,0,0,One year
0016-MIFOR,4,12.32,114.5,42.31,0,26,0,0,One year
0016-MIFOR,5,17.63,97.3,48.28,1,39,1,0,One year
0016-MIFOR,6,16.58,127.1,49.59,0,31,0,0,One year
0016-MIFOR,7,17.17,120.4,47.48,2,31,1,0,One year
0016-MIFOR,8,14.63,129.1,46.18,2,30,1,0,One year
0016-MIFOR,9,12.33,95.9,49.24,0,35,0,0,One year
0016-MIFOR,10,18.93,122.8,45.69,2,33,2,0,One year
0016-MIFOR,11,11.87,119.8,47.37,0,38,0,0,One year
0016-MIFOR,12,16.2,125.6,50.96,1,35,1,0,One year
0017-YLEVQ,1,27.5,207.2,84.97,0,27,0,0,Month-to-month
0017-YLEVQ,2,28.74,185.7,79.66,1,20,0,0,Month-to-month
0017-YLEVQ,3,24.16,158.2,86.3,0,22,0,0,Month-to-month
0017-YLEVQ,4,24.92,212.0,92.32,0,16,0,0,Month-to-month
0017-YLEVQ,5,23.22,202.9,84.12,0,21,0,0,Month-to-month
0017-YLEVQ,6,24.75,154.2,80.59,2,21,0,0,Month-to-month
0017-YLEVQ,7,24.43,157.0,86.77,0,21,0,0,Month-to-month
0017-YLEVQ,8,23.66,188.2,89.1,1,16,0,0,Month-to-month
0017-YLEVQ,9,29.18,144.7,88.47,0,20,0,0,Month-to-month
0017-YLEVQ,10,23.95,173.9,88.71,0,25,0,0,Month-to-month
0017-YLEVQ,11,24.85,187.6,92.09,0,18,0,0,Month-to-month
0017-YLEVQ,12,27.35,164.4,84.14,0,20,0,0,Month-to-month
0018-SCITV,1,17.31,159.7,52.8,0,24,2,0,One year
0018-SCITV,2,13.23,112.0,52.29,1,22,0,0,One year
0018-SCITV,3,16.92,134.2,57.05,1,22,0,0,One year
0018-SCITV,4,16.18,127.8,51.49,1,30,0,0,One year
0018-SCITV,5,17.98,113.3,48.75,0,22,0,0,One year
0018-SCITV,6,13.43,142.7,51.58,1,19,0,0,One year
0018-SCITV,7,9.05,141.9,56.87,1,29,1,0,One year
0018-SCITV,8,15.61,111.1,53.81,1,25,3,0,One year
0018-SCITV,9,12.96,188.3,52.2,0,24,1,0,One year
0018-SCITV,10,13.11,107.4,47.23,2,25,0,0,One year
0018-SCITV,11,15.27,123.3,50.88,0,31,1,0,One year
0018-SCITV,12,16.37,122.3,58.57,0,20,1,0,One year
0019-LUVKX,1,31.88,151.7,73.53,1,20,0,1,Month-to-month
0019-LUVKX,2,24.34,119.6,86.23,0,5,1,1,Month-to-month
0019-LUVKX,3,15.77,242.1,73.99,1,17,0,1,Month-to-month
0019-LUVKX,4,12.84,88.5,77.82,0,24,0,1,Month-to-month
0019-LUVKX,5,31.82,196.8,76.28,0,15,0,1,Month-to-month
0019-LUVKX,6,21.46,170.8,79.13,1,10,0,1,Month-to-month
0019-LUVKX,7,23.64,213.7,81.03,0,15,1,1,Month-to-month
0019-LUVKX,8,16.14,209.0,84.89,0,10,1,1,Month-to-month
0019-LUVKX,9,24.01,143.5,69.92,1,26,0,1,Month-to-month
0019-LUVKX,10,19.34,196.6,75.42,0,12,0,1,Month-to-month
0019-LUVKX,11,10.68,148.8,61.86,5,33,0,1,Month-to-month
0019-LUVKX,12,13.82,169.0,80.9,1,25,1,1,Month-to-month
0020-HGRQD,1,11.89,161.4,73.96,0,37,0,0,Two year
0020-HGRQD,2,5.82,154.3,78.42,1,24,0,0,Two year
0020-HGRQD,3,26.61,138.9,69.86,0,26,0,0,Two year
0020-HGRQD,4,29.6,111.2,66.9,0,34,0,0,Two year
0020-HGRQD,5,9.55,83.8,61.72,0,28,0,0,Two year
0020-HGRQD,6,20.28,112.4,71.2,2,25,2,0,Two year
0020-HGRQD,7,7.82,142.7,68.39,1,32,1,0,Two year
0020-HGRQD,8,13.21,135.1,73.09,1,28,0,0,Two year
0020-HGRQD,9,18.95,113.9,75.09,1,38,1,0,Two year
0020-HGRQD,10,8.68,137.2,62.52,0,22,0,0,Two year
0020-HGRQD,11,9.07,143.1,74.89,0,33,0,0,Two year
0020-HGRQD,12,18.94,137.1,73.18,0,19,1,0,Two year
0021-VFUAU,1,26.5,189.8,81.24,0,26,0,1,Month-to-month
0021-VFUAU,2,23.89,193.2,80.92,1,16,0,1,Month-to-month
0021-VFUAU,3,5.54,107.3,90.64,1,30,0,1,Month-to-month
0021-VFUAU,4,32.41,181.4,85.83,0,39,0,1,Month-to-month
0021-VFUAU,5,5.34,140.3,89.9,0,31,0,1,Month-to-month
0021-VFUAU,6,5.24,203.5,81.48,0,38,1,1,Month-to-month
0021-VFUAU,7,17.16,169.7,97.8,2,25,0,1,Month-to-month
0021-VFUAU,8,15.72,212.8,86.71,0,26,1,1,Month-to-month
0021-VFUAU,9,20.34,180.7,98.28,0,26,0,1,Month-to-month
0021-VFUAU,10,13.68,74.0,102.5,2,32,0,1,Month-to-month
0021-VFUAU,11,12.83,169.7,94.71,2,27,1,1,Month-to-month
0021-VFUAU,12,6.01,143.0,91.57,5,19,2,1,Month-to-month
0022-UURMS,1,17.6,219.2,46.52,0,37,0,0,Month-to-month
0022-UURMS,2,22.14,219.0,45.83,1,34,1,0,Month-to-month
0022-UURMS,3,21.99,181.7,47.19,0,29,0,0,Month-to-month
0022-UURMS,4,17.34,194.8,48.91,0,33,0,0,Month-to-month
0022-UURMS,5,20.25,183.4,45.33,0,37,0,0,Month-to-month
0022-UURMS,6,18.24,198.4,52.24,1,31,0,0,Month-to-month
0022-UURMS,7,22.36,186.7,47.24,0,38,1,0,Month-to-month
0022-UURMS,8,20.36,201.8,48.78,0,35,0,0,Month-to-month
0022-UURMS,9,16.84,193.2,49.09,0,35,1,0,Month-to-month
0022-UURMS,10,18.57,211.6,47.98,2,28,1,0,Month-to-month
0022-UURMS,11,18.84,186.1,43.62,1,29,0,0,Month-to-month
0022-UURMS,12,18.7,196.2,45.34,0,29,0,0,Month-to-month
0023-HUOLN,1,26.61,150.6,78.46,1,22,1,1,Month-to-month
0023-HUOLN,2,27.06,211.1,78.22,0,27,0,1,Month-to-month
0023-HUOLN,3,22.89,185.0,98.12,0,26,0,1,Month-to-month
0023-HUOLN,4,33.29,143.4,94.66,0,18,0,1,Month-to-month
0023-HUOLN,5,25.59,175.7,97.81,0,27,0,1,Month-to-month
0023-HUOLN,6,27.17,132.8,86.27,0,16,0,1,Month-to-month
0023-HUOLN,7,23.47,145.7,90.03,0,16,1,1,Month-to-month
0023-HUOLN,8,18.3,208.6,103.2,1,23,0,1,Month-to-month
0023-HUOLN,9,13.55,138.7,92.95,0,18,1,1,Month-to-month
0023-HUOLN,10,35.14,109.7,86.21,3,14,3,1,Month-to-month
0023-HUOLN,11,24.41,89.9,98.3,3,16,3,1,Month-to-month
0023-HUOLN,12,26.85,103.7,95.58,0,13,1,1,Month-to-month
0024-OADGC,1,23.4,137.8,88.02,0,20,0,1,Month-to-month
0024-OADGC,2,19.76,160.1,87.24,0,22,0,1,Month-to-month
0024-OADGC,3,30.26,124.5,78.55,0,12,1,1,Month-to-month
0024-OADGC,4,21.81,131.2,93.13,0,27,0,1,Month-to-month
0024-OADGC,5,19.83,156.0,92.41,0,25,0,1,Month-to-month
0024-OADGC,6,22.36,65.9,76.74,0,24,0,1,Month-to-month
0024-OADGC,7,26.04,139.1,81.47,0,30,0,1,Month-to-month
0024-OADGC,8,18.36,165.7,78.84,0,42,0,1,Month-to-month
0024-OADGC,9,14.43,163.2,94.33,0,32,1,1,Month-to-month
0024-OADGC,10,13.01,154.8,76.14,2,21,0,1,Month-to-month
0024-OADGC,11,19.44,188.6,75.62,1,18,0,1,Month-to-month
0024-OADGC,12,23.69,116.3,83.56,1,21,0,1,Month-to-month
0025-LRRMW,1,14.81,115.9,55.43,0,40,0,1,Month-to-month
0025-LRRMW,2,13.13,262.1,63.41,1,33,0,1,Month-to-month
0025-LRRMW,3,22.87,196.8,63.07,2,13,0,1,Month-to-month
0025-LRRMW,4,4.0,270.5,70.6,0,42,0,1,Month-to-month
0025-LRRMW,5,6.29,102.9,62.77,2,6,0,1,Month-to-month
0025-LRRMW,6,14.63,253.2,68.18,1,32,0,1,Month-to-month
0025-LRRMW,7,12.41,170.5,56.2,1,36,1,1,Month-to-month
0025-LRRMW,8,31.9,258.5,55.68,1,47,2,1,Month-to-month
0025-LRRMW,9,11.76,182.7,75.59,2,43,2,1,Month-to-month
0025-LRRMW,10,22.29,133.7,63.49,1,31,0,1,Month-to-month
0025-LRRMW,11,24.12,174.2,70.53,4,23,1,1,Month-to-month
0025-LRRMW,12,0.0,178.4,65.72,1,17,0,1,Month-to-month
